number,line,name,english_name,japanese_name,chinese_name,hanja_name,transfer,distance,cumulative_distance,location
401,부산 도시철도 4호선,미남,Minam,美南,美南,, 부산 도시철도 3호선,-,0.0,부산광역시 동래구
402,부산 도시철도 4호선,동래,Dongnae,東萊,东莱,, 부산 도시철도 1호선,1.0,1.0,부산광역시 동래구
403,부산 도시철도 4호선,수안(동래읍성임진왜란역사관),Suan,寿安,寿安,,,0.7,1.7,부산광역시 동래구
404,부산 도시철도 4호선,낙민,Nangmin,楽民,乐民,,,0.7,2.4,부산광역시 동래구
405,부산 도시철도 4호선,충렬사(안락),Chungnyeolsa,忠烈祠,忠烈祠,,,0.7,3.1,부산광역시 동래구
406,부산 도시철도 4호선,명장,Myeongjang,鳴蔵,鸣藏,,,0.7,3.8,부산광역시 동래구
407,부산 도시철도 4호선,서동,Seo-dong,書洞,书洞,,,1.0,4.8,부산광역시 금정구
408,부산 도시철도 4호선,금사,Geumsa,錦糸,锦丝,,,0.8,5.6,부산광역시 금정구
409,부산 도시철도 4호선,반여농산물시장,Banyeo Agricultural Market,盤如農産物市場,盘如农产品市场,,,0.8,6.4,부산광역시 해운대구
410,부산 도시철도 4호선,석대,Seokdae,石坮,石坮,,,1.2,7.6,부산광역시 해운대구
411,부산 도시철도 4호선,영산대(아랫반송),Youngsan Univ.,霊山大学,灵山大学,,,1.4,9.0,부산광역시 해운대구
412,부산 도시철도 4호선,윗반송,Witbansong,上盤松,上盤松,,,1.1,10.1,부산광역시 해운대구
413,부산 도시철도 4호선,고촌,Gochon,古村,古村,,,0.8,10.9,부산광역시 기장군
414,부산 도시철도 4호선,"안평
(고촌주택단지)",Anpyeong,安平,安平,,,1.1,12.0,부산광역시 기장군
