number,line,name,english_name,japanese_name,chinese_name,hanja_name,transfer,distance,cumulative_distance,location
201,부산 도시철도 2호선,장산(해운대백병원),Jangsan,萇山,苌山,,,-,0.0,부산광역시 해운대구
202,부산 도시철도 2호선,중동,Jung-dong,中洞,中洞,,,0.9,0.9,부산광역시 해운대구
203,부산 도시철도 2호선,해운대,Haeundae,海雲台,海云台,,,0.9,1.8,부산광역시 해운대구
204,부산 도시철도 2호선,동백,Dongbaek,冬柏,冬柏,,,1.2,3.0,부산광역시 해운대구
205,부산 도시철도 2호선,벡스코(시립미술관),BEXCO,ペクスコ,,, 동해선 광역전철,1.1,4.1,부산광역시 해운대구
206,부산 도시철도 2호선,센텀시티(벡스코),Centum City,センタムシティ,,,,0.8,4.9,부산광역시 해운대구
207,부산 도시철도 2호선,민락,Millak,民樂,民乐,,,1.0,5.9,부산광역시 수영구
208,부산 도시철도 2호선,수영,Suyeong,水営,水营,, 부산 도시철도 3호선,0.9,6.8,부산광역시 수영구
209,부산 도시철도 2호선,광안,Gwangan,広安,广安,,,0.9,7.7,부산광역시 수영구
210,부산 도시철도 2호선,금련산,Geumnyeonsan,金蓮山,金莲山,,,0.9,8.6,부산광역시 수영구
211,부산 도시철도 2호선,남천(KBS·수영구청),Namcheon,南川,南川,,,0.9,9.5,부산광역시 수영구
212,부산 도시철도 2호선,경성대·부경대(동명대학교),Kyunsung Univ.·Pukyong Nat'l Univ.,慶星大学·釜慶大学,庆星大学·釜庆大学,,,0.8,10.3,부산광역시 남구
213,부산 도시철도 2호선,대연(부산고려병원),Daeyeon,大淵,大渊,,,0.9,11.2,부산광역시 남구
214,부산 도시철도 2호선,못골(남구청),Motgol,モッコル,池谷,,,0.7,11.9,부산광역시 남구
215,부산 도시철도 2호선,지게골,Jigegol,チゲゴル,支架谷,,,0.9,12.8,부산광역시 남구
216,부산 도시철도 2호선,문현,Munhyeon,門峴,门岘,,,0.8,13.6,부산광역시 남구
217,부산 도시철도 2호선,국제금융센터·부산은행[10],Busan Int'l Finance Center·Busan Bank,釜山国際金融センター·釜山銀行,釜山国际金融中心·釜山银行,,,0.8,14.4,부산광역시 남구
218,부산 도시철도 2호선,전포,Jeonpo,田浦,田浦,,,0.8,15.2,부산광역시 부산진구
219,부산 도시철도 2호선,서면,Seomyeon,西面,西面,, 부산 도시철도 1호선,1.1,16.3,부산광역시 부산진구
220,부산 도시철도 2호선,부암(온종합병원),Buam,釜岩,釜岩,,,0.8,17.1,부산광역시 부산진구
221,부산 도시철도 2호선,가야,Gaya,伽倻,伽倻,,,0.7,17.8,부산광역시 부산진구
222,부산 도시철도 2호선,동의대,Dong-eui Univ.,東義大学,东义大学,,,0.9,18.7,부산광역시 부산진구
223,부산 도시철도 2호선,개금(인제대학교 부산백병원),Gaegeum,開琴,开琴,,,1.1,19.8,부산광역시 부산진구
224,부산 도시철도 2호선,냉정,Naengjeong,冷井,冷井,,,0.8,20.6,부산광역시 사상구
225,부산 도시철도 2호선,주례,Jurye,周礼,周礼,,,0.9,21.5,부산광역시 사상구
226,부산 도시철도 2호선,감전(사상구청),Gamjeon,甘田,甘田,,,1.2,22.7,부산광역시 사상구
227,부산 도시철도 2호선,사상(서부터미널),Sasang,沙上,沙上,, 부산-김해 경전철경부선,1.1,23.8,부산광역시 사상구
228,부산 도시철도 2호선,덕포,Deokpo,徳浦,德浦,,,1.2,25.0,부산광역시 사상구
229,부산 도시철도 2호선,모덕,Modeok,毛徳,毛德,,,0.8,25.8,부산광역시 사상구
230,부산 도시철도 2호선,모라,Mora,毛羅,毛罗,,,1.0,26.8,부산광역시 사상구
231,부산 도시철도 2호선,구남,Gunam,亀南,龟南,,,1.1,27.9,부산광역시 북구
232,부산 도시철도 2호선,구명,Gumyeong,亀明,龟明,,,0.7,28.6,부산광역시 북구
233,부산 도시철도 2호선,덕천(부산과기대),Deokcheon,徳川,德川,, 부산 도시철도 3호선,1.2,29.8,부산광역시 북구
234,부산 도시철도 2호선,수정(방송통신대),Sujeong,水亭,水亭,,,1.5,31.3,부산광역시 북구
235,부산 도시철도 2호선,화명,Hwamyeong,華明,华明,,경부선,1.5,32.8,부산광역시 북구
236,부산 도시철도 2호선,율리,Yulli,栗里,栗里,,,1.2,34.0,부산광역시 북구
237,부산 도시철도 2호선,동원,Dongwon,東院,东院,,,1.5,35.5,부산광역시 북구
238,부산 도시철도 2호선,금곡,Geumgok,金谷,金谷,,,1.0,36.5,부산광역시 북구
239,부산 도시철도 2호선,호포,Hopo,湖浦,湖浦,,,1.5,38.0,경상남도 양산시
240,부산 도시철도 2호선,증산,Jeungsan,甑山,甑山,,,3.5,41.5,경상남도 양산시
241,부산 도시철도 2호선,부산대양산캠퍼스,Pusan Nat'l Univ. Yangsan Campus,釜山大学梁山キャンパス,釜山大学梁山分校,,,1.0,42.5,경상남도 양산시
242,부산 도시철도 2호선,남양산(범어),Namyangsan,南梁山,南梁山,,,1.1,43.6,경상남도 양산시
243,부산 도시철도 2호선,양산(시청),Yangsan,梁山,梁山,,,1.6,45.2,경상남도 양산시
