number,line,name,english_name,japanese_name,chinese_name,hanja_name,transfer,distance,cumulative_distance,location
301,부산 도시철도 3호선,수영,Suyeong,水営,水营,, 부산 도시철도 2호선,-,0.0,부산광역시 수영구
302,부산 도시철도 3호선,망미(병무청),Mangmi,望美,望美,,,1.0,1.0,부산광역시 수영구
303,부산 도시철도 3호선,배산,Baesan,盃山,杯山,,,1.2,2.2,부산광역시 연제구
304,부산 도시철도 3호선,물만골,Mulmangol,ムルマンゴル,水满谷,,,1.1,3.3,부산광역시 연제구
305,부산 도시철도 3호선,연산,Yeonsan,蓮山,莲山,, 부산 도시철도 1호선,1.1,4.4,부산광역시 연제구
306,부산 도시철도 3호선,거제(법원·검찰청),Geoje,巨堤,巨堤,, 동해선 광역전철,0.7,5.1,부산광역시 연제구
307,부산 도시철도 3호선,종합운동장(빅토리움),Sports Complex,総合運動場,综合运动场,,,0.7,5.8,부산광역시 연제구
308,부산 도시철도 3호선,사직,Sajik,社稷,社稷,,,0.8,6.6,부산광역시 동래구
309,부산 도시철도 3호선,미남,Minam,美南,美南,, 부산 도시철도 4호선,0.8,7.4,부산광역시 동래구
310,부산 도시철도 3호선,만덕,Mandeok,万徳,万德,,,3.3,10.7,부산광역시 북구
311,부산 도시철도 3호선,남산정(부산폴리텍대학),Namsanjeong,南山亭,南山亭,,,1.1,11.8,부산광역시 북구
312,부산 도시철도 3호선,숙등,Sukdeung,淑嶝,淑嶝,,,1.0,12.8,부산광역시 북구
313,부산 도시철도 3호선,덕천(부산과기대),Deokcheon,徳川,德川,, 부산 도시철도 2호선,0.7,13.5,부산광역시 북구
314,부산 도시철도 3호선,구포,Gupo,亀浦,龟浦,,경부선,1.1,14.6,부산광역시 북구
315,부산 도시철도 3호선,강서구청,Gangseo-gu Office,江西区庁,江西区厅,,,1.6,16.2,부산광역시 강서구
316,부산 도시철도 3호선,체육공원,Sports Park,体育公園,体育公园,,,1.1,17.3,부산광역시 강서구
317,부산 도시철도 3호선,대저,Daejeo,大渚,大渚,, 부산-김해 경전철,0.8,18.1,부산광역시 강서구
