number,line,name,english_name,hanja_name,transfer,distance,cumalative_distance,location
610,서울_지하철_6호선,응암,Eungam,鷹岩,,-,0.0,서울특별시 은평구
611,서울_지하철_6호선,역촌,Yeokchon,驛村,,1.1,1.1,서울특별시 은평구
612,서울_지하철_6호선,불광,Bulgwang,佛光, 수도권 전철 3호선,0.8,1.9,서울특별시 은평구
613,서울_지하철_6호선,독바위,Dokbawi,,,0.9,2.8,서울특별시 은평구
614,서울_지하철_6호선,연신내,Yeonsinnae,, 수도권 전철 3호선,1.4,4.2,서울특별시 은평구
615,서울_지하철_6호선,구산,Gusan,龜山,,0.9,5.1,서울특별시 은평구
610,서울_지하철_6호선,응암[8],Eungam,鷹岩,,1.5,6.6,서울특별시 은평구
616,서울_지하철_6호선,새절(신사),Saejeol(Sinsa),새절(新寺),,0.9,7.5,서울특별시 은평구
617,서울_지하철_6호선,증산(명지대앞),Jeungsan(Myongji Univ.),繒山(明知大앞),,0.9,8.4,서울특별시 은평구
618,서울_지하철_6호선,디지털미디어시티,Digital Media City,," 수도권 전철 경의·중앙선, 인천국제공항철도",1.1,9.5,서울특별시 은평구
619,서울_지하철_6호선,월드컵경기장(성산),World Cup Stadium(Seongsan),월드컵競技場(城山),,0.8,10.3,서울특별시 마포구
620,서울_지하철_6호선,마포구청,Mapo-gu Office,麻浦區廳,,0.8,11.1,서울특별시 마포구
621,서울_지하철_6호선,망원,Mangwon,望遠,,1.0,12.1,서울특별시 마포구
622,서울_지하철_6호선,합정(홀트아동복지회),"Hapjeong(Holt Children's Services, Inc)",合井, 서울 지하철 2호선,0.8,12.9,서울특별시 마포구
623,서울_지하철_6호선,상수,Sangsu,上水,,0.8,13.7,서울특별시 마포구
624,서울_지하철_6호선,광흥창(서강),Gwangheungchang(Seogang),廣興倉(西江),,0.9,14.6,서울특별시 마포구
625,서울_지하철_6호선,대흥(서강대앞),Daeheung(Sogang Univ.),大興(西江大앞),,1.0,15.6,서울특별시 마포구
626,서울_지하철_6호선,공덕,Gongdeok,孔德," 수도권 전철 5호선, 수도권 전철 경의·중앙선, 인천국제공항철도",0.9,16.5,서울특별시 마포구
627,서울_지하철_6호선,효창공원앞,Hyochang Park,孝昌公園앞, 수도권 전철 경의·중앙선,0.9,17.4,서울특별시 용산구
628,서울_지하철_6호선,삼각지,Samgakji,三角地, 수도권 전철 4호선,1.2,18.6,서울특별시 용산구
629,서울_지하철_6호선,녹사평(용산구청앞),Noksapyeong(Yongsan-gu Office),綠莎坪(龍山區廳),,1.1,19.7,서울특별시 용산구
630,서울_지하철_6호선,이태원,Itaewon,梨泰院,,0.8,20.5,서울특별시 용산구
631,서울_지하철_6호선,한강진,Hangangjin,漢江鎭,,1.0,21.5,서울특별시 용산구
632,서울_지하철_6호선,버티고개,Beotigogae,,,1.0,22.5,서울특별시 중구
633,서울_지하철_6호선,약수,Yaksu,藥水, 수도권 전철 3호선,0.7,23.2,서울특별시 중구
634,서울_지하철_6호선,청구,Cheonggu,靑丘, 수도권 전철 5호선,0.8,24.0,서울특별시 중구
635,서울_지하철_6호선,신당,Sindang,新堂, 서울 지하철 2호선,0.7,24.7,서울특별시 중구
636,서울_지하철_6호선,동묘앞,Dongmyo,東廟앞, 수도권 전철 1호선,0.6,25.3,서울특별시 종로구
637,서울_지하철_6호선,창신,Changsin,昌信,,0.9,26.2,서울특별시 종로구
638,서울_지하철_6호선,보문,Bomun,普門, 서울 경전철 우이신설선,0.8,27.0,서울특별시 성북구
639,서울_지하철_6호선,안암(고대병원앞),Anam(Korea Univ. Hospital),安岩(高大病院앞),,0.9,27.9,서울특별시 성북구
640,서울_지하철_6호선,고려대(종암),Korea Univ.(Jongam),高麗大(鐘岩),,0.8,28.7,서울특별시 성북구
641,서울_지하철_6호선,월곡(동덕여대),Wolgok(Dongduk Women's Univ.),月谷(同德女大),,1.4,30.1,서울특별시 성북구
642,서울_지하철_6호선,상월곡(한국과학기술연구원),Sangwolgok(KIST),上月谷(韓國科學技術硏究院),,0.8,30.9,서울특별시 성북구
643,서울_지하철_6호선,돌곶이,Dolgoji,,,0.8,31.7,서울특별시 성북구
644,서울_지하철_6호선,석계,Seokgye,石溪, 수도권 전철 1호선,1.0,32.7,서울특별시 노원구
645,서울_지하철_6호선,태릉입구,Taereung,泰陵入口, 서울 지하철 7호선,0.8,33.5,서울특별시 노원구
646,서울_지하철_6호선,화랑대(서울여대입구),Hwarangdae(Seoul Women's Univ.),花郞臺(서울女大入口),,0.9,34.4,서울특별시 노원구
647,서울_지하철_6호선,봉화산(서울의료원),Bonghwasan(Seoul Medical Center),烽火山(서울醫療院),,0.7,35.1,서울특별시 중랑구
648,서울_지하철_6호선,신내,Sinnae,新內, 수도권 전철 경춘선,1.3,36.4,서울특별시 중랑구
