number,line,name,english_name,hanja_name,transfer,distance,cumalative_distance,location
510,수도권_전철_5호선,서울 지하철 5호선 본선,방화,Banghwa,,0.0,0.0,서울특별시 강서구
511,수도권_전철_5호선,서울 지하철 5호선 본선,개화산,Gaehwasan,,0.9,0.9,서울특별시 강서구
512,수도권_전철_5호선,서울 지하철 5호선 본선,김포공항,Gimpo Int'l Airport," 서울 지하철 9호선, 인천국제공항철도, 김포 도시철도, 수도권 전철 서해선(예정)",1.2,2.1,서울특별시 강서구
513,수도권_전철_5호선,서울 지하철 5호선 본선,송정,Songjeong,,1.2,3.3,서울특별시 강서구
514,수도권_전철_5호선,서울 지하철 5호선 본선,마곡(홈앤쇼핑),Magok(Home & Shopping),,1.1,4.4,서울특별시 강서구
515,수도권_전철_5호선,서울 지하철 5호선 본선,발산,Balsan,,1.2,5.6,서울특별시 강서구
516,수도권_전철_5호선,서울 지하철 5호선 본선,우장산,Ujangsan,,1.1,6.7,서울특별시 강서구
517,수도권_전철_5호선,서울 지하철 5호선 본선,화곡,Hwagok,,1.0,7.7,서울특별시 강서구
518,수도권_전철_5호선,서울 지하철 5호선 본선,까치산,Kkachisan, 서울 지하철 2호선 (신정지선),1.2,8.9,서울특별시 강서구
519,수도권_전철_5호선,서울 지하철 5호선 본선,신정(은행정),Sinjeong(Eunhaengjeong),,1.3,10.2,서울특별시 양천구
520,수도권_전철_5호선,서울 지하철 5호선 본선,목동,Mok-dong,,0.8,11.0,서울특별시 양천구
521,수도권_전철_5호선,서울 지하철 5호선 본선,오목교(목동운동장앞),Omokgyo(Mokdong Stadium),,0.9,11.9,서울특별시 양천구
522,수도권_전철_5호선,서울 지하철 5호선 본선,양평,Yangpyeong,,1.1,13.0,서울특별시 영등포구
523,수도권_전철_5호선,서울 지하철 5호선 본선,영등포구청,Yeongdeungpo-gu Office, 서울 지하철 2호선,0.8,13.8,서울특별시 영등포구
524,수도권_전철_5호선,서울 지하철 5호선 본선,영등포시장(한림대 한강성심병원),Yeongdeungpo Market(Hallym Univ. Hanggang Sacred Heart Hospital),,0.9,14.7,서울특별시 영등포구
525,수도권_전철_5호선,서울 지하철 5호선 본선,신길,Singil, 수도권 전철 1호선,1.1,15.8,서울특별시 영등포구
526,수도권_전철_5호선,서울 지하철 5호선 본선,여의도,Yeouido, 서울 지하철 9호선,1.0,16.8,서울특별시 영등포구
527,수도권_전철_5호선,서울 지하철 5호선 본선,여의나루,Yeouinaru,,1.0,17.8,서울특별시 영등포구
528,수도권_전철_5호선,서울 지하철 5호선 본선,마포,Mapo,,1.8,19.6,서울특별시 마포구
529,수도권_전철_5호선,서울 지하철 5호선 본선,공덕,Gongdeok," 서울 지하철 6호선, 인천국제공항철도, 수도권 전철 경의·중앙선",0.8,20.4,서울특별시 마포구
530,수도권_전철_5호선,서울 지하철 5호선 본선,애오개,Aeogae,,1.1,21.5,서울특별시 마포구
531,수도권_전철_5호선,서울 지하철 5호선 본선,충정로(경기대입구),Chungjeongno(Kyonggi Univ.), 서울 지하철 2호선,0.9,22.4,서울특별시 서대문구
532,수도권_전철_5호선,서울 지하철 5호선 본선,서대문,Seodaemun,,0.7,23.1,서울특별시 종로구
533,수도권_전철_5호선,서울 지하철 5호선 본선,광화문(세종문화회관),Gwanghwamun(Sejong Center for the Perfoming Arts),,1.1,24.2,서울특별시 종로구
534,수도권_전철_5호선,서울 지하철 5호선 본선,종로3가(탑골공원),Jongno 3(sam)-ga(Tapgol Park)," 수도권 전철 1호선, 수도권 전철 3호선",1.2,25.4,서울특별시 종로구
535,수도권_전철_5호선,서울 지하철 5호선 본선,을지로4가,Euljiro 4(sa)-ga, 서울 지하철 2호선,1.0,26.4,서울특별시 중구
536,수도권_전철_5호선,서울 지하철 5호선 본선,동대문역사문화공원(DDP),Dongdaemun History & Culture Park," 서울 지하철 2호선, 수도권 전철 4호선",0.9,27.3,서울특별시 중구
537,수도권_전철_5호선,서울 지하철 5호선 본선,청구,Cheonggu, 서울 지하철 6호선,0.9,28.2,서울특별시 중구
538,수도권_전철_5호선,서울 지하철 5호선 본선,신금호,Singeumho,,0.9,29.1,서울특별시 성동구
539,수도권_전철_5호선,서울 지하철 5호선 본선,행당,Haengdang,,0.8,29.9,서울특별시 성동구
540,수도권_전철_5호선,서울 지하철 5호선 본선,왕십리(성동구청),Wangsimni(SeongDong-Gu Office)," 서울 지하철 2호선, 수도권 전철 경의·중앙선, 수도권 전철 수인·분당선경원선",0.9,30.8,서울특별시 성동구
541,수도권_전철_5호선,서울 지하철 5호선 본선,마장,Majang,,0.7,31.5,서울특별시 성동구
542,수도권_전철_5호선,서울 지하철 5호선 본선,답십리,Dapsimni,,1.0,32.5,서울특별시 성동구
543,수도권_전철_5호선,서울 지하철 5호선 본선,장한평,Janghanpyeong,,1.2,33.7,서울특별시 동대문구
544,수도권_전철_5호선,서울 지하철 5호선 본선,군자(능동),Gunja(Neung-dong), 서울 지하철 7호선,1.5,35.2,서울특별시 광진구
545,수도권_전철_5호선,서울 지하철 5호선 본선,아차산(어린이대공원후문),Achasan(Rear Entrance to Seoul Children's Grand Park),,1.0,36.2,서울특별시 광진구
546,수도권_전철_5호선,서울 지하철 5호선 본선,광나루(장신대),Gangnaru(Presbyterian Univ. & College & Seminary),,1.5,37.7,서울특별시 광진구
547,수도권_전철_5호선,서울 지하철 5호선 본선,천호(풍납토성),Cheonho(Pungnaptoseong), 서울 지하철 8호선,2.0,39.7,서울특별시 강동구
548,수도권_전철_5호선,서울 지하철 5호선 본선,강동,Gangdong, 수도권 전철 5호선 (마천행),0.8,40.5,서울특별시 강동구
549,수도권_전철_5호선,서울 지하철 5호선 본선,길동,Gil-dong,,0.9,41.4,서울특별시 강동구
550,수도권_전철_5호선,서울 지하철 5호선 본선,굽은다리(강동구민회관앞),Gubeundari(Gangdong Community Center),,0.8,42.2,서울특별시 강동구
551,수도권_전철_5호선,서울 지하철 5호선 본선,명일,Myeongil,,0.7,42.9,서울특별시 강동구
552,수도권_전철_5호선,서울 지하철 5호선 본선,고덕(강동경희대병원),Godeok(Kyung Hee Univ. Hospital at Gangdong),,1.2,44.1,서울특별시 강동구
553,수도권_전철_5호선,서울 지하철 5호선 본선,상일동,Sangil-dong,,1.1,45.2,서울특별시 강동구
554,수도권_전철_5호선,하남선,강일,Gangil,,0.7,45.9,서울특별시 강동구
555,수도권_전철_5호선,하남선,미사,Misa,,1.7,47.6,경기도 하남시
556,수도권_전철_5호선,하남선,하남풍산,Hanam Pungsan,,2.0,49.6,경기도 하남시
557,수도권_전철_5호선,하남선,하남시청,Hanam City Hall,,1.4,51.0,경기도 하남시
558,수도권_전철_5호선,하남선,하남검단산,Hanam Geomdansan,,1.6,52.6,경기도 하남시
548,수도권_전철_5호선,마천지선,강동,Gangdong, 수도권 전철 5호선 (하남검단산행),-,0.0,서울특별시 강동구
P549,수도권_전철_5호선,마천지선,둔촌동,Dunchon-dong,,1.2,1.2,서울특별시 강동구
P550,수도권_전철_5호선,마천지선,올림픽공원(한국체대),Olympic Park(Korean National Sport Univ.), 서울 지하철 9호선,1.4,2.6,서울특별시 송파구
