number,line,name,english_name,hanja_name,transfer,distance,cumalative_distance,location
309,일산선,대화,Daehwa,大化,,0.0,0.0,경기도 고양시일산서구
310,일산선,주엽,Juyeop,注葉,,1.4,1.4,경기도 고양시일산서구
311,일산선,정발산,Jeongbalsan,鼎鉢山,,1.6,3.0,경기도 고양시일산동구
312,일산선,마두,Madu,馬頭,,0.9,3.9,경기도 고양시일산동구
313,일산선,백석,Baekseok,白石,,1.4,5.3,경기도 고양시일산동구
314,일산선,대곡,Daegok,大谷," 수도권 전철 경의·중앙선, 수도권 전철 서해선",2.5,7.8,경기도 고양시덕양구
315,일산선,화정,Hwajeong,花井,,2.1,9.9,경기도 고양시덕양구
316,일산선,원당,Wondang,元堂,,2.6,12.5,경기도 고양시덕양구
317,일산선,원흥,Wonheung,元興,,2.9,15.4,경기도 고양시덕양구
318,일산선,삼송,Samsong,三松,,2.1,17.5,경기도 고양시덕양구
319,일산선,지축,Jichuk,紙杻,,1.7,19.2,경기도 고양시덕양구
319,서울 지하철 3호선,지축,Jichuk,紙杻,,1.7,19.2,경기도 고양시덕양구
320,서울 지하철 3호선,구파발,Gupabal,舊把撥,,1.5,20.7,서울특별시 은평구
321,서울 지하철 3호선,연신내,Yeonsinnae,, 서울 지하철 6호선,2.0,22.7,서울특별시 은평구
322,서울 지하철 3호선,불광,Bulgwang,佛光, 서울 지하철 6호선,1.3,24.0,서울특별시 은평구
323,서울 지하철 3호선,녹번,Nokbeon,碌磻,,1.1,25.1,서울특별시 은평구
324,서울 지하철 3호선,홍제,Hongje(Seoul Culture Arts Univ.),弘濟,,1.6,26.7,서울특별시 서대문구
325,서울 지하철 3호선,무악재,Muakjae,毋岳재,,0.9,27.6,서울특별시 서대문구
326,서울 지하철 3호선,독립문,Dongnimmun,獨立門,,1.1,28.7,서울특별시 서대문구
327,서울 지하철 3호선,경복궁(정부서울청사),Gyeongbokgung(Government Complex-Seoul),景福宮(政府서울廳舍),,1.6,30.3,서울특별시 종로구
328,서울 지하철 3호선,안국,Anguk,安國,,1.1,31.4,서울특별시 종로구
329,서울 지하철 3호선,종로3가,Jongno 3(sam)-ga,鍾路3街," 수도권 전철 1호선, 수도권 전철 5호선",1.0,32.4,서울특별시 종로구
330,서울 지하철 3호선,을지로3가,Euljiro 3(sam)-ga,乙支路3街, 서울 지하철 2호선,0.6,33.0,서울특별시 중구
331,서울 지하철 3호선,충무로,Chungmuro,忠武路, 수도권 전철 4호선,0.7,33.7,서울특별시 중구
332,서울 지하철 3호선,동대입구,Dongguk Univ.,東大入口,,0.9,34.6,서울특별시 중구
333,서울 지하철 3호선,약수,Yaksu,藥水, 서울 지하철 6호선,0.7,35.3,서울특별시 중구
334,서울 지하철 3호선,금호,Geumho,金湖,,0.8,36.1,서울특별시 성동구
335,서울 지하철 3호선,옥수,Oksu,玉水, 수도권 전철 경의·중앙선경원선,0.8,36.9,서울특별시 성동구
336,서울 지하철 3호선,압구정,Apgujeong,狎鷗亭,,2.1,39.0,서울특별시 강남구
337,서울 지하철 3호선,신사,Sinsa,新沙,,1.5,40.5,서울특별시 강남구
338,서울 지하철 3호선,잠원,Jamwon,蠶院,,0.9,41.4,서울특별시 서초구
339,서울 지하철 3호선,고속터미널,Express Bus Terminal,高速터미널," 서울 지하철 7호선, 서울 지하철 9호선",1.2,42.6,서울특별시 서초구
340,서울 지하철 3호선,교대(법원·검찰청),Seoul Nat'l Univ. of Education(Court & Public Prosecutor’s Office),敎大(法院·檢察廳), 서울 지하철 2호선,1.6,44.2,서울특별시 서초구
341,서울 지하철 3호선,남부터미널(예술의전당),Nambu Bus Terminal(Seoul Arts Center),南部터미널(藝術의殿堂),,0.9,45.1,서울특별시 서초구
342,서울 지하철 3호선,양재(서초구청),Yangjae(Seocho-gu Office),良才(瑞草區廳), 신분당선,1.8,46.9,서울특별시 서초구
343,서울 지하철 3호선,매봉,Maebong,,,1.2,48.1,서울특별시 강남구
344,서울 지하철 3호선,도곡,Dogok,道谷, 수도권 전철 수인·분당선,0.8,48.9,서울특별시 강남구
345,서울 지하철 3호선,대치,Daechi,大峙,,0.8,49.7,서울특별시 강남구
346,서울 지하철 3호선,학여울,Hangnyeoul,,,0.8,50.5,서울특별시 강남구
347,서울 지하철 3호선,대청,Daecheong,,,0.9,51.4,서울특별시 강남구
348,서울 지하철 3호선,일원,Irwon,逸院,,1.2,52.6,서울특별시 강남구
349,서울 지하철 3호선,수서,Suseo,水西, 수도권 전철 수인·분당선 🚅 수서고속철도(SRT),1.8,54.4,서울특별시 강남구
350,서울 지하철 3호선,가락시장,Garak Market,可樂市場, 서울 지하철 8호선,1.4,55.8,서울특별시 송파구
351,서울 지하철 3호선,경찰병원,Nat'l Police Hospital,警察病院,,0.8,56.6,서울특별시 송파구
352,서울 지하철 3호선,오금,Ogeum,梧琴, 수도권 전철 5호선,0.8,57.4,서울특별시 송파구
