number,line,name,english_name,hanja_name,transfer,distance,cumalative_distance,location
201,서울_지하철_2호선,시청,City Hall,市廳, 수도권 전철 1호선,0.0,0.0,서울특별시 중구
202,서울_지하철_2호선,을지로입구(IBK기업은행),"Euljiro 1(il)-ga
(Industrial Bank of Korea)","乙支路入口
(IBK企業銀行)",,0.7,0.7,서울특별시 중구
203,서울_지하철_2호선,을지로3가,Euljiro 3(sam)-ga,乙支路3街, 수도권 전철 3호선,0.8,1.5,서울특별시 중구
204,서울_지하철_2호선,을지로4가,Euljiro 4(sa)-ga,乙支路4街, 수도권 전철 5호선,0.6,2.1,서울특별시 중구
205,서울_지하철_2호선,동대문역사문화공원(DDP),Dongdaemun History & Culture Park(DDP),東大門歷史文化公園," 수도권 전철 4호선, 수도권 전철 5호선",1.0,3.1,서울특별시 중구
206,서울_지하철_2호선,신당,Sindang,新堂, 서울 지하철 6호선,0.9,4.0,서울특별시 중구
207,서울_지하철_2호선,상왕십리,Sangwangsimni,上往十里,,0.9,4.9,서울특별시 성동구
208,서울_지하철_2호선,왕십리(성동구청),Wangsimni(Seongdong-Gu Office),往十里(城東區廳)," 수도권 전철 5호선, 수도권 전철 경의·중앙선, 수도권 전철 수인·분당선경원선",0.8,5.7,서울특별시 성동구
209,서울_지하철_2호선,한양대,Hanyang Univ.,漢陽大,,1.0,6.7,서울특별시 성동구
210,서울_지하철_2호선,뚝섬,Ttukseom,뚝섬,,1.1,7.8,서울특별시 성동구
211,서울_지하철_2호선,성수,Seongsu,聖水, 서울 지하철 2호선 (성수지선),0.8,8.6,서울특별시 성동구
212,서울_지하철_2호선,건대입구,Konkuk Univ.,建大入口, 서울 지하철 7호선,1.2,9.8,서울특별시 광진구
213,서울_지하철_2호선,구의(광진구청),Guui(Gwangjin-gu Office),九宜(廣津區廳),,1.6,11.4,서울특별시 광진구
214,서울_지하철_2호선,강변(동서울터미널),Gangbyeon(Dongseoul Bus Terminal),江邊(東서울터미널),,0.9,12.3,서울특별시 광진구
215,서울_지하철_2호선,잠실나루,Jamsillaru,蠶室나루,,1.8,14.1,서울특별시 송파구
216,서울_지하철_2호선,잠실(송파구청),Jamsil(Songpa-gu Office),蠶室(松坡區廳), 서울 지하철 8호선,1.0,15.1,서울특별시 송파구
217,서울_지하철_2호선,잠실새내,Jamsilsaenae,蠶室새내,,1.2,16.3,서울특별시 송파구
218,서울_지하철_2호선,종합운동장,Sports Complex,綜合運動場, 서울 지하철 9호선,1.2,17.5,서울특별시 송파구
219,서울_지하철_2호선,삼성(무역센터),Samseong(World Trade Center Seoul),三成(貿易센터),,1.0,18.5,서울특별시 강남구
220,서울_지하철_2호선,선릉,Seolleung,宣陵, 수도권 전철 수인·분당선,1.3,19.8,서울특별시 강남구
221,서울_지하철_2호선,역삼,Yeoksam,驛三,,1.2,21.0,서울특별시 강남구
222,서울_지하철_2호선,강남,Gangnam,江南, 신분당선,0.8,21.8,서울특별시 강남구
223,서울_지하철_2호선,교대(법원·검찰청),Seoul Nat'l Univ. of Education(Court & Public Prosecutors' Office),敎大(法院·檢察廳), 수도권 전철 3호선,1.2,23.0,서울특별시 서초구
224,서울_지하철_2호선,서초,Seocho,瑞草,,0.7,23.7,서울특별시 서초구
225,서울_지하철_2호선,방배(백석예술대),Bangbae(Baekseok Arts Univ.),方背(白石藝術大),,1.7,25.4,서울특별시 서초구
226,서울_지하철_2호선,사당,Sadang,舍堂, 수도권 전철 4호선,1.6,27.0,서울특별시 관악구
227,서울_지하철_2호선,낙성대(강감찬),Nakseongdae(Ganggamchan),落星垈,,1.7,28.7,서울특별시 관악구
228,서울_지하철_2호선,서울대입구(관악구청),Seoul Nat'l Univ.(Gwanak-gu Office),首爾大學(冠岳區廳),,1.0,29.7,서울특별시 관악구
229,서울_지하철_2호선,봉천,Bongcheon,奉天,,1.0,30.7,서울특별시 관악구
230,서울_지하철_2호선,신림,Sillim,新林,,1.1,31.8,서울특별시 관악구
231,서울_지하철_2호선,신대방,Sindaebang,新大方,,1.8,33.6,서울특별시 동작구
232,서울_지하철_2호선,구로디지털단지(원광디지털대),Guro Digital Complex(Wonkwang Digital Univ.),九老디지털團地,,1.1,34.7,서울특별시 구로구
233,서울_지하철_2호선,대림(구로구청),Daerim(Guro-gu Office),大林(九老區廳), 서울 지하철 7호선,1.1,35.8,서울특별시 구로구
234,서울_지하철_2호선,신도림,Sindorim,新道林," 수도권 전철 1호선, 서울 지하철 2호선 (신정지선)",1.8,37.6,서울특별시 구로구
235,서울_지하철_2호선,문래,Mullae,文來,,1.2,38.8,서울특별시 영등포구
236,서울_지하철_2호선,영등포구청,Yeongdeungpo-gu Office,永登浦區廳, 수도권 전철 5호선,0.9,39.7,서울특별시 영등포구
237,서울_지하철_2호선,당산,Dangsan,堂山, 서울 지하철 9호선,1.1,40.8,서울특별시 영등포구
238,서울_지하철_2호선,합정(홀트아동복지회),"Hapjeong(Holt Children's Services, inc)",合井, 서울 지하철 6호선,2.0,42.8,서울특별시 마포구
239,서울_지하철_2호선,홍대입구,Hongik Univ.,弘大入口," 수도권 전철 경의·중앙선, 인천국제공항철도",1.1,43.9,서울특별시 마포구
240,서울_지하철_2호선,신촌(지하),Sinchon,新村,,1.3,45.2,서울특별시 마포구
241,서울_지하철_2호선,이대,Ewha Womans Univ.,梨大,,0.8,46.0,서울특별시 마포구
242,서울_지하철_2호선,아현(추계예술대),Ahyeon(Chugye Univ. for the Arts),阿峴,,0.9,46.9,서울특별시 마포구
243,서울_지하철_2호선,충정로(경기대입구),Chungjeongno(Kyonggi Univ.),忠正路(京畿大入口), 수도권 전철 5호선,0.8,47.7,서울특별시 서대문구
201,서울_지하철_2호선,시청,City Hall,市廳, 수도권 전철 1호선,1.1,48.8,서울특별시 중구
211,서울_지하철_2호선,성수,Seongsu,聖水, 서울 지하철 2호선,0.0,0.0,서울특별시 성동구
211-1,서울_지하철_2호선,용답,Yongdap,龍踏,,2.3,2.3,서울특별시 성동구
211-2,서울_지하철_2호선,신답,Sindap,新踏,,1.0,3.3,서울특별시 성동구
211-3,서울_지하철_2호선,용두(동대문구청),Yongdu(Dongdaemun-gu Office),龍頭(東大門區廳),,0.9,4.2,서울특별시 동대문구
211-4,서울_지하철_2호선,신설동,Sinseol-dong,新設洞," 수도권 전철 1호선, 서울 경전철 우이신설선",1.2,5.4,서울특별시 동대문구
234,서울_지하철_2호선,신도림,Sindorim,新道林," 수도권 전철 1호선, 서울 지하철 2호선",0.0,0.0,서울특별시 구로구
234-1,서울_지하철_2호선,도림천,Dorimcheon,道林川,,1.0,1.0,서울특별시 구로구
234-2,서울_지하철_2호선,양천구청,Yangcheon-gu Office,陽川區廳,,1.7,2.7,서울특별시 양천구
234-3,서울_지하철_2호선,신정네거리,Sinjeongnegeori,新亭네거리,,1.9,4.6,서울특별시 양천구
234-4,서울_지하철_2호선,까치산,Kkachisan,까치山, 수도권 전철 5호선,1.4,6.0,서울특별시 강서구
