number,line,name,english_name,hanja_name,transfer,distance,cumalative_distance,location
I110,인천_도시철도_1호선,계양,桂陽,Gyeyang, 인천국제공항철도,-,0.0,인천광역시 계양구
I111,인천_도시철도_1호선,귤현,橘峴,Gyulhyeon,,0.9,0.9,인천광역시 계양구
I112,인천_도시철도_1호선,박촌,朴村,Bakchon,,1.5,2.4,인천광역시 계양구
I113,인천_도시철도_1호선,임학,林鶴,Imhak,,1.1,3.5,인천광역시 계양구
I114,인천_도시철도_1호선,계산,桂山,Gyesan,,1.1,4.6,인천광역시 계양구
I115,인천_도시철도_1호선,경인교대입구,京仁敎大入口,Gyeongin Nat'l Univ. of Education,,0.9,5.5,인천광역시 계양구
I116,인천_도시철도_1호선,작전,鵲田,Jakjeon,,0.9,6.4,인천광역시 계양구
I117,인천_도시철도_1호선,갈산,葛山,Galsan,,1.4,7.8,인천광역시 부평구
I118,인천_도시철도_1호선,부평구청,富平區廳,Bupyeong-gu Office, 서울 지하철 7호선,1.0,8.8,인천광역시 부평구
I119,인천_도시철도_1호선,부평시장,富平市場,Bupyeong Market,,1.1,9.9,인천광역시 부평구
I120,인천_도시철도_1호선,부평,富平,Bupyeong, 수도권 전철 1호선,0.9,10.8,인천광역시 부평구
I121,인천_도시철도_1호선,동수,東樹,Dongsu,,0.9,11.7,인천광역시 부평구
I122,인천_도시철도_1호선,부평삼거리,富平三거리,Bupyeongsamgeori,,1.1,12.8,인천광역시 부평구
I123,인천_도시철도_1호선,간석오거리,間石五거리,Ganseogogeori,,1.2,14.0,인천광역시 남동구
I124,인천_도시철도_1호선,인천시청,仁川市廳,Incheon City Hall, 인천 도시철도 2호선,1.4,15.4,인천광역시 남동구
I125,인천_도시철도_1호선,예술회관,藝術會館,Culture & Arts Center,,1.0,16.4,인천광역시 남동구
I126,인천_도시철도_1호선,인천터미널,仁川터미널,Incheon Bus Terminal,,0.8,17.2,인천광역시 미추홀구
I127,인천_도시철도_1호선,문학경기장,文鶴競技場,Munhak Sports Complex,,0.8,18.0,인천광역시 연수구
I128,인천_도시철도_1호선,선학,仙鶴,Seonhak,,0.8,18.8,인천광역시 연수구
I129,인천_도시철도_1호선,신연수,新延壽,Sinyeonsu,,1.1,19.9,인천광역시 연수구
I130,인천_도시철도_1호선,원인재,源仁齋,Woninjae, 수도권 전철 수인·분당선,0.9,20.8,인천광역시 연수구
I131,인천_도시철도_1호선,동춘,東春,Dongchun,,1.1,21.9,인천광역시 연수구
I132,인천_도시철도_1호선,동막,東幕,Dongmak,,1.0,22.9,인천광역시 연수구
I133,인천_도시철도_1호선,캠퍼스타운,,Campus Town,,1.6,24.5,인천광역시 연수구
I134,인천_도시철도_1호선,테크노파크,,Technopark,,0.8,25.3,인천광역시 연수구
I135,인천_도시철도_1호선,지식정보단지,知識情報團地,BIT Zone,,1.4,26.7,인천광역시 연수구
I136,인천_도시철도_1호선,인천대입구,仁川大入口,Incheon Nat'l Univ.,,1.0,27.7,인천광역시 연수구
I137,인천_도시철도_1호선,센트럴파크,中央公園,Central Park,,0.9,28.6,인천광역시 연수구
I138,인천_도시철도_1호선,국제업무지구,國際業務地區,Int'l Business District,,0.8,29.4,인천광역시 연수구
I139,인천_도시철도_1호선,송도달빛축제공원,松島달빛祝祭公園,Songdo Moonlight Festival Park,,0.8,30.3,인천광역시 연수구
