number,line,name,english_name,hanja_name,transfer,distance,cumalative_distance,location
901,서울_지하철_9호선,개화,開花,Gaehwa,,0.0,0.0,서울특별시 강서구
902,서울_지하철_9호선,김포공항,金浦空港,Gimpo Int'l Airport," 수도권 전철 5호선, 인천국제공항철도, 김포 도시철도, 수도권 전철 서해선(예정)",3.6,3.6,서울특별시 강서구
903,서울_지하철_9호선,공항시장,空港市場,Airport Market,,0.8,4.4,서울특별시 강서구
904,서울_지하철_9호선,신방화,新傍花,Sinbanghwa,,0.8,5.2,서울특별시 강서구
905,서울_지하철_9호선,마곡나루(서울식물원),麻谷나루,Magongnaru, 인천국제공항철도,0.9,6.1,서울특별시 강서구
906,서울_지하철_9호선,양천향교,陽川鄕校,Yangcheon Hyanggyo,,1.4,7.5,서울특별시 강서구
907,서울_지하철_9호선,가양,加陽,Gayang,,1.3,8.8,서울특별시 강서구
908,서울_지하철_9호선,증미,曾米,Jeungmi,,0.7,9.5,서울특별시 강서구
909,서울_지하철_9호선,등촌,登村,Deungchon,,1.0,10.5,서울특별시 강서구
910,서울_지하철_9호선,염창,鹽倉,Yeomchang,,0.9,11.4,서울특별시 강서구
911,서울_지하철_9호선,신목동,新木洞,Sinmokdong,,0.9,12.3,서울특별시 양천구
912,서울_지하철_9호선,선유도,仙遊島,Seonyudo,,1.2,13.5,서울특별시 영등포구
913,서울_지하철_9호선,당산,堂山,Dangsan, 서울 지하철 2호선,1.0,14.5,서울특별시 영등포구
914,서울_지하철_9호선,국회의사당,國會議事堂,National Assembly,,1.5,16.0,서울특별시 영등포구
915,서울_지하철_9호선,여의도,汝矣島,Yeouido, 수도권 전철 5호선,0.9,16.9,서울특별시 영등포구
916,서울_지하철_9호선,샛강,,Saetgang,,0.8,17.7,서울특별시 영등포구
917,서울_지하철_9호선,노량진,鷺梁津,Noryangjin, 수도권 전철 1호선,1.2,18.9,서울특별시 동작구
918,서울_지하철_9호선,노들,,Nodeul,,1.1,20.0,서울특별시 동작구
919,서울_지하철_9호선,흑석(중앙대입구),黑石 (中央大入口),Heukseok (Chung-Ang Univ.),,1.1,21.1,서울특별시 동작구
920,서울_지하철_9호선,동작(현충원),銅雀 (顯忠院),Dongjak (Seoul National Cemetery), 수도권 전철 4호선,1.4,22.5,서울특별시 동작구
921,서울_지하철_9호선,구반포,舊盤浦,Gubanpo,,1.0,23.5,서울특별시 서초구
922,서울_지하철_9호선,신반포,新盤浦,Sinbanpo,,0.7,24.2,서울특별시 서초구
923,서울_지하철_9호선,고속터미널,高速터미널,Express Bus Terminal," 수도권 전철 3호선, 서울 지하철 7호선",0.8,25.0,서울특별시 서초구
924,서울_지하철_9호선,사평,砂平,Sapyeong,,1.1,26.1,서울특별시 서초구
925,서울_지하철_9호선,신논현(르메르디앙호텔),新論峴,Sinnonhyeon (Le Meridien Hotel),,0.9,27.0,서울특별시 강남구
926,서울_지하철_9호선,언주(강남차병원),彦州,Eonju (CHA Gangnam Medical Center),,0.8,27.8,서울특별시 강남구
927,서울_지하철_9호선,선정릉,宣靖陵,Seonjeongneung, 수도권 전철 수인·분당선,0.9,28.7,서울특별시 강남구
928,서울_지하철_9호선,삼성중앙,三成中央,Samseongjungang,,0.8,29.5,서울특별시 강남구
929,서울_지하철_9호선,봉은사,奉恩寺,Bongeunsa,,0.8,30.3,서울특별시 강남구
930,서울_지하철_9호선,종합운동장,綜合運動場,Sports Complex, 서울 지하철 2호선,1.4,31.7,서울특별시 송파구
931,서울_지하철_9호선,삼전,三田,Samjeon,,1.4,33.1,서울특별시 송파구
932,서울_지하철_9호선,석촌고분,石村古墳,Seokchon Gobun,,0.8,33.9,서울특별시 송파구
933,서울_지하철_9호선,석촌,石村,Seokchon, 서울 지하철 8호선,1.0,34.9,서울특별시 송파구
934,서울_지하철_9호선,송파나루,松坡나루,Songpanaru,,0.8,35.7,서울특별시 송파구
935,서울_지하철_9호선,한성백제,漢城百濟,Hanseong Baekje,,0.8,36.5,서울특별시 송파구
936,서울_지하철_9호선,올림픽공원(한국체대),올림픽公園 (韓國體大),Olympic Park (Korea National Sport Univ.), 수도권 전철 5호선,1.4,37.9,서울특별시 송파구
937,서울_지하철_9호선,둔촌오륜,遁村五輪,Dunchon Oryun,,1.0,38.9,서울특별시 강동구
938,서울_지하철_9호선,중앙보훈병원,中央報勳病院,VHS Medical Center,,1.7,40.6,서울특별시 강동구
