number,line,name,english_name,hanja_name,transfer,distance,cumalative_distance,location
216,대구 도시철도 2호선,문양,Munyang,汶陽,,-,0.0,대구광역시 달성군
217,대구 도시철도 2호선,다사,Dasa,多斯,,2.9,2.9,대구광역시 달성군
218,대구 도시철도 2호선,대실(죽곡연합통증의학과),Daesil,,,1.0,3.9,대구광역시 달성군
219,대구 도시철도 2호선,강창,Gangchang,江倉,,1.4,5.3,대구광역시 달서구
220,대구 도시철도 2호선,계명대,Keimyung Univ.,啓明大,,1.3,6.6,대구광역시 달서구
221,대구 도시철도 2호선,성서산업단지(해성병원 암재활별관),Seongseo Industrial Complex,城西産業團地,,1.2,7.8,대구광역시 달서구
222,대구 도시철도 2호선,이곡,Igok,梨谷,,0.8,8.6,대구광역시 달서구
223,대구 도시철도 2호선,용산(서부법원·검찰청입구),Yongsan(Seobu Br. Court·Seobu Prosecutors' Ofc.),龍山(西部法院·檢察廳入口),,1.3,9.9,대구광역시 달서구
224,대구 도시철도 2호선,죽전(구병원),Jukjeon,竹田,,0.9,10.8,대구광역시 달서구
225,대구 도시철도 2호선,감삼,Gamsam,甘三,,0.9,11.7,대구광역시 달서구
226,대구 도시철도 2호선,두류(대구기독병원),Duryu,頭流,,0.8,12.5,대구광역시 달서구
227,대구 도시철도 2호선,내당(참튼튼병원),Naedang,內唐,,0.9,13.4,대구광역시 서구
228,대구 도시철도 2호선,반고개(열린큰병원),Bangogae,,,0.8,14.2,대구광역시 달서구
229,대구 도시철도 2호선,청라언덕(신남 • 척탑병원),Cheongna Hill,靑蘿언덕, 대구 도시철도 3호선,0.9,15.1,대구광역시 중구
230,대구 도시철도 2호선,반월당(에필성형외과),Banwoldang,半月堂, 대구 도시철도 1호선,1.0,16.1,대구광역시 중구
231,대구 도시철도 2호선,경대병원(미르치과병원),Kyungpook Nat'l Univ Hosp.,慶大病院,,0.9,17.0,대구광역시 중구
232,대구 도시철도 2호선,대구은행(대구교육청),Daegu Bank(Daegu Metropolitan Office of Education),大邱銀行(大邱敎育廳),,1.1,18.1,대구광역시 수성구
233,대구 도시철도 2호선,범어,Beomeo,泛漁,,1.0,19.1,대구광역시 수성구
234,대구 도시철도 2호선,수성구청(KBS),Suseong-gu Office(KBS),壽城區廳(KBS),,0.9,20.0,대구광역시 수성구
235,대구 도시철도 2호선,만촌,Manchon,晩村,,0.9,20.9,대구광역시 수성구
236,대구 도시철도 2호선,담티(수성대·대륜),Damti(Suseong College·Daeryun Middle & High School),담티(壽城大·大倫),,0.9,21.8,대구광역시 수성구
237,대구 도시철도 2호선,연호,Yeonho,蓮湖,,1.8,23.6,대구광역시 수성구
238,대구 도시철도 2호선,대공원(삼성라이온즈파크),Daegu Grand Park(Samsung Lions Park),大公園(三星라이온즈파크),,1.0,24.6,대구광역시 수성구
239,대구 도시철도 2호선,고산,Gosan,孤山,,1.2,25.8,대구광역시 수성구
240,대구 도시철도 2호선,신매,Simmae,新梅,,1.1,26.9,대구광역시 수성구
241,대구 도시철도 2호선,사월,Sawol,沙月,,1.1,28.0,대구광역시 수성구
242,대구 도시철도 2호선,정평,Jeongpyeong,正坪,,1.1,29.1,경상북도 경산시
243,대구 도시철도 2호선,임당,Imdang,林堂,,1.2,30.3,경상북도 경산시
244,대구 도시철도 2호선,영남대,Yeungnam University,嶺南大,,1.1,31.4,경상북도 경산시
